pubkey,totalproposalscreated,communitypropcreatorpassed,depositedvotes,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesfor,totalcouncilvotesagainst,rewards,alltimerewards
uLfMeRAPVMxs5tprZV9788CrWc7bMY6vuFgjv7aTLAA,0,0,69125,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,8255
8BFan3PdtNHQNLatBrYGttBebUdTuPmxQVDeZPcthbym,0,0,0,0,970,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
GxRK5RAbP9JHaJbtwPqks2XwAbYbo1c1pEMperZc31JU,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,8640
BZ8uP8aJWg5u1uJ92jsnSu5hHRpDZLYAMDrxJjHrLDXy,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,555
6QyXjmR78n1WBqo5BDYv1mwqeUiWLpLyaYgvBYLA642i,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
2xRMvUtr88hLcLkFD1vfSADkQW92S3JxFF2vuV5pVGLr,0,0,0,0,1359,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1220
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,0,0,2057929,0,375130,1684576822,1687289398,16463432,10289645,6173787,8,5,3,0,0,0,0,0,9749,409324.210004
9ZeNiDFPTwFkG3ptwBZjMGL2N4djQgxAsU5YB6z2hhHy,0,0,332299,0,55230,null,null,0,0,0,0,0,0,0,0,0,0,0,0,103222.500001
58qtR3YYzMMwhJCj3hoJZeNTMjhT3ymN4AA65LBWgv7V,0,0,0,0,333,null,null,0,0,0,0,0,0,0,0,0,0,0,0,225
7GTDryEQzDhfYDQcFduC2J7StTnkeT2x95MzdJPjjfgt,0,0,1093,0,38079,null,null,0,0,0,0,0,0,0,0,0,0,0,0,260
GhXKgMtTFyzvXfnPae6p7vL9SsSdvwnniqF79qWf67eS,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,55
EZLvwGdGyeks3jQLWeBbjL1uGeGbqb2MYU4157pDP9ch,0,0,330817,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,9749,232859
9N78qUJMtbJE5739uVuQYtoBR4CR68MDwtpLBFWrCHo4,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1100
5tVfhJ89YAJsSaiUFBGxvjDQH4UeJB71kqtGpc4kJgio,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,15435
2su7qMHkRNsTEjHdzkHA5hzvA8UohHNoV6JhLsUXms7a,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,465
GADm41oZzno47qXZbQRZMb4HfJ4ytzFsiu9HUma2Kzn8,0,0,0,0,6270,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1105
B4sPLzfPv8ZszXhrbjyf3Yekrq2kY4UwTd8iGQbv2XhJ,4,2,1156717,1,0,1684576822,1687364522,12196604,11338265,858339,14,13,1,2,2,2,2,0,48556,313813.14
9unmKCnBV4uEUtGZk4asvtdxWYqkkKdiwNZCdLgDmFfH,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0
4befwKLou9y2hMtXwbA2p2fFpqc4jsj4RKp5zUE9XJFv,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,1050
